User,Retweet Degree,Reply Degree,Retweet Community,Reply Community,Multi Retweet In Degree,Multi Retweet Out Degree,Multi Retweet Degree,Multi Reply In Degree,Multi Reply Out Degree,Multi Reply Degree
1264,568,171,0,0,1493,604,2097,289,167,456
996,567,202,1,2,402,1254,1656,168,170,338
3643,567,289,1,2,485,1584,2069,538,230,768
521,565,254,1,2,461,1353,1814,275,217,492
47,564,359,1,2,1746,308,2054,711,487,1198
1302,564,175,1,0,412,1066,1478,229,160,389
1210,563,225,1,2,290,1704,1994,164,323,487
1442,563,185,1,0,507,816,1323,308,32,340
3726,562,114,1,0,24,1543,1567,71,115,186
1315,561,105,0,1,1211,14,1225,301,103,404
104,560,208,0,0,1113,188,1301,451,10,461
141,559,245,0,1,2233,212,2445,1681,944,2625
333,558,78,0,0,1813,1802,3615,174,104,278
1337,558,264,0,0,1322,415,1737,633,142,775
144,557,275,0,0,949,1079,2028,278,403,681
1844,557,63,1,2,49,1963,2012,59,75,134
3656,557,246,1,0,449,1619,2068,310,259,569
852,556,357,1,0,501,1081,1582,611,253,864
1741,556,155,0,0,1754,181,1935,384,301,685
2716,556,96,1,2,3,1990,1993,9,122,131
263,555,265,0,0,1433,775,2208,1276,959,2235
3315,555,272,1,2,427,1327,1754,142,436,578
467,554,257,1,0,818,1358,2176,339,258,597
821,552,416,0,0,1312,187,1499,1676,723,2399
288,551,264,0,0,1395,715,2110,1105,1029,2134
367,551,394,1,2,2311,67,2378,1701,441,2142
513,551,301,0,0,1465,48,1513,713,41,754
3156,551,181,1,2,501,1113,1614,135,187,322
3481,551,303,0,0,945,558,1503,750,337,1087
96,550,146,0,0,1052,1039,2091,271,175,446
199,550,564,1,2,1315,340,1655,871,1328,2199
1182,550,85,0,0,123,1420,1543,66,133,199
831,549,110,0,0,500,1477,1977,178,194,372
1686,549,213,1,0,597,1081,1678,396,289,685
39,548,148,1,2,388,1652,2040,319,2,321
630,548,192,1,2,210,1988,2198,210,132,342
769,547,224,1,2,288,943,1231,187,263,450
786,547,344,1,2,1378,1001,2379,878,291,1169
1762,547,402,0,0,888,275,1163,846,326,1172
347,546,234,1,2,495,1175,1670,768,151,919
1896,546,315,1,2,548,999,1547,293,535,828
82,545,169,1,0,1744,0,1744,356,0,356
90,545,229,0,0,2265,808,3073,766,661,1427
2726,545,204,1,0,1610,898,2508,301,222,523
327,542,452,0,0,1242,18,1260,1356,18,1374
2387,541,139,1,2,179,1833,2012,121,100,221
109,538,287,1,2,1316,1409,2725,547,440,987
1121,538,126,1,2,358,1304,1662,187,18,205
360,537,70,1,2,35,1178,1213,31,67,98
3653,537,92,1,0,71,1546,1617,38,127,165
871,536,251,1,0,1391,294,1685,287,468,755
1048,535,196,1,0,942,270,1212,212,209,421
1083,535,58,1,2,11,1794,1805,64,79,143
1382,535,221,0,0,1635,515,2150,1299,758,2057
3517,535,144,1,2,34,1416,1450,35,167,202
601,533,17,0,0,137,1977,2114,56,44,100
142,532,305,1,2,1512,289,1801,607,26,633
3258,532,209,1,0,775,1222,1997,432,0,432
3459,532,319,1,2,488,1049,1537,203,523,726
3693,532,87,1,2,27,1779,1806,19,87,106
1165,531,279,1,1,783,516,1299,478,283,761
3812,531,198,1,0,180,1472,1652,344,291,635
2280,530,147,1,0,202,1391,1593,177,191,368
2979,530,188,0,0,1436,519,1955,427,473,900
3078,530,224,1,2,125,1454,1579,73,391,464
298,528,182,0,0,938,1372,2310,264,282,546
724,528,178,1,2,100,1632,1732,57,231,288
1371,527,220,1,0,1152,966,2118,559,363,922
3509,527,313,0,0,789,704,1493,471,315,786
3658,527,365,1,2,570,1079,1649,296,494,790
56,526,228,1,0,205,1586,1791,229,226,455
723,526,195,0,0,1215,624,1839,559,632,1191
1652,526,280,0,0,1090,287,1377,896,740,1636
151,524,150,0,0,1739,1389,3128,258,180,438
520,524,153,0,0,1509,1409,2918,282,275,557
649,524,295,1,2,687,758,1445,384,273,657
3299,523,165,1,2,143,1420,1563,122,161,283
822,522,185,1,2,299,1808,2107,97,290,387
1550,522,412,1,2,2030,437,2467,2147,349,2496
2734,522,315,1,0,331,1396,1727,122,674,796
3502,522,217,1,2,259,902,1161,94,278,372
711,521,307,0,1,2012,150,2162,1913,1138,3051
1689,520,173,1,0,1790,1499,3289,192,111,303
1887,520,58,1,2,74,1467,1541,56,17,73
2925,520,44,1,2,34,1840,1874,22,37,59
3171,520,121,1,0,271,1031,1302,172,27,199
3200,520,319,1,2,435,1009,1444,190,551,741
2392,519,219,0,0,310,873,1183,459,400,859
2774,517,389,1,0,1122,440,1562,783,630,1413
3499,516,466,1,2,1229,664,1893,786,836,1622
361,515,121,0,0,898,991,1889,203,211,414
3460,515,290,1,0,287,1335,1622,211,518,729
918,513,282,0,0,1822,429,2251,744,861,1605
1161,513,51,1,2,182,1258,1440,50,22,72
1329,513,28,1,2,67,2258,2325,20,12,32
1589,513,282,1,0,712,701,1413,262,524,786
915,512,322,1,2,595,877,1472,354,394,748
1630,512,394,1,2,1251,888,2139,443,703,1146
892,511,117,1,2,261,768,1029,174,45,219
1074,511,86,1,2,440,1844,2284,89,68,157
1168,511,126,1,0,152,1380,1532,127,179,306
373,510,74,1,2,300,1345,1645,147,53,200
2233,510,152,0,0,69,1773,1842,153,200,353
1565,509,305,1,2,486,1034,1520,335,429,764
2625,509,3,1,0,10,1414,1424,3,0,3
3381,508,170,0,0,2611,216,2827,953,567,1520
1034,507,105,0,0,426,1324,1750,136,155,291
1441,507,338,1,0,510,659,1169,460,850,1310
775,506,263,1,2,236,1176,1412,157,351,508
1021,506,118,0,0,33,1610,1643,19,221,240
2976,506,296,1,0,2181,100,2281,836,387,1223
3146,506,144,1,0,444,1201,1645,199,384,583
2898,505,48,1,2,181,1843,2024,58,42,100
159,504,199,1,2,773,1025,1798,353,94,447
492,504,187,0,0,133,1548,1681,105,311,416
502,504,253,0,0,841,1055,1896,563,228,791
1028,504,125,1,2,1192,9,1201,175,10,185
1284,504,319,0,0,1350,9,1359,560,421,981
3095,503,114,1,0,633,539,1172,121,110,231
