User,Retweet Degree,Reply Degree,Retweet Community,Reply Community
1672,428,208,0,0
3687,428,36,0,0
1585,427,137,1,2
750,426,356,1,0
1086,426,355,1,2
3239,426,170,1,2
3478,426,191,1,2
489,425,183,1,2
641,425,279,1,2
1063,425,223,1,0
3045,425,280,1,2
1030,424,101,1,2
1127,424,440,1,2
1214,424,87,0,0
301,423,127,1,2
1131,423,166,1,2
3646,422,208,1,2
266,421,102,0,0
670,421,385,1,2
735,421,210,1,0
795,421,90,0,0
824,421,172,1,2
1126,421,258,1,1
1281,421,277,0,0
1721,421,161,1,2
2010,421,93,0,0
2047,421,195,1,2
445,420,185,0,0
1242,420,171,0,0
1324,420,111,1,2
1582,420,83,1,2
2572,420,58,0,0
55,419,520,1,2
93,419,271,0,0
127,419,158,1,2
355,419,474,1,2
580,419,433,1,0
1119,419,357,1,2
3468,419,256,1,2
339,418,100,0,0
938,418,182,0,2
1000,417,265,1,0
2417,417,86,1,2
168,416,217,1,0
282,416,270,1,0
1417,416,182,1,2
1899,416,118,1,0
609,415,110,1,2
1979,415,146,0,1
3442,415,187,0,0
9,414,183,0,0
49,414,179,1,2
405,414,485,2,1
728,414,48,1,2
1596,414,172,0,0
2389,414,48,0,0
3676,414,72,1,2
287,413,199,1,0
1515,413,77,0,0
1696,413,144,0,0
2241,413,352,1,0
207,411,253,1,2
1379,411,450,0,2
1949,411,89,0,0
108,410,190,0,0
848,410,30,0,0
1147,410,264,0,0
1296,410,140,0,0
369,409,174,0,0
1708,409,61,0,0
1787,409,139,0,0
2315,409,51,1,0
465,408,238,0,0
2162,408,123,0,0
213,407,351,1,2
1378,407,115,1,2
1651,407,248,1,1
318,406,44,0,0
687,405,481,1,0
922,405,28,1,2
1540,405,95,0,1
820,404,226,0,0
1286,404,79,0,0
1567,404,185,1,0
3520,404,366,1,2
335,403,62,0,0
2307,403,244,1,2
297,402,156,1,1
393,402,200,1,0
1629,402,202,1,2
1870,402,184,0,0
2127,402,87,0,0
2682,402,120,0,0
555,401,305,0,1
810,401,96,1,2
3465,401,314,1,2
37,400,155,0,0
196,400,217,1,2
737,399,88,0,0
739,399,9,1,2
1547,399,169,0,2
1680,399,119,0,0
132,398,73,0,0
1174,398,119,0,0
2287,398,284,1,0
3935,398,57,1,2
3579,397,187,0,0
3962,397,271,1,2
793,396,185,1,2
1700,396,27,1,0
2288,396,168,1,0
2373,396,61,0,1
487,395,72,0,0
524,395,59,0,0
548,395,130,0,1
865,395,228,1,2
1018,395,154,1,2
1769,395,53,0,0
1811,395,264,1,0
2094,395,264,1,2
2308,395,155,1,2
2350,395,15,0,0
1415,394,86,0,1
1859,394,47,0,0
939,393,125,0,0
1015,393,89,0,0
1900,393,178,1,0
3409,393,116,0,0
574,392,181,0,1
661,392,337,1,2
1407,392,104,0,1
3471,392,239,1,2
744,391,81,0,0
1593,391,137,0,0
1170,390,357,0,0
2810,390,102,0,0
3123,390,272,1,1
3277,390,60,0,0
562,389,204,1,2
1468,389,237,1,0
1880,389,118,0,0
2237,389,304,1,0
3024,389,65,1,0
3541,389,245,1,2
206,388,236,1,0
879,388,297,1,2
950,388,88,1,0
1387,387,265,1,0
1654,386,38,0,0
1677,386,108,1,0
2090,386,283,1,2
3288,386,25,1,2
3963,386,334,0,0
101,385,300,1,2
219,385,100,1,2
623,385,469,2,1
1436,385,184,1,0
2247,385,43,0,1
46,384,231,0,0
2719,384,119,1,0
3659,384,42,1,2
460,383,85,0,1
819,383,186,1,2
3689,383,119,1,0
1500,382,84,0,2
3161,382,171,0,0
3696,382,332,1,2
173,381,168,1,2
413,381,21,0,0
1167,381,9,0,0
1406,381,82,1,0
87,380,377,0,0
386,379,314,1,2
1308,379,240,0,0
1372,379,230,1,2
1109,378,232,0,0
1890,378,135,0,0
378,376,112,0,0
512,376,98,1,2
999,376,104,1,2
421,375,397,1,2
471,375,46,0,1
2909,375,225,1,2
3733,375,151,1,0
68,374,76,0,1
984,374,15,0,0
3282,374,200,1,2
3743,373,97,0,1
201,372,247,1,2
916,372,254,1,2
1350,372,233,0,0
2576,372,160,1,0
3708,372,196,1,2
1049,371,163,1,2
1124,371,396,1,2
1144,371,201,1,0
359,370,478,1,2
835,370,32,0,0
1061,370,192,1,2
1245,370,135,1,0
2100,370,241,1,2
3219,370,200,0,0
103,369,113,1,0
746,369,207,0,0
828,369,120,1,0
1693,369,319,1,2
1737,369,46,0,0
319,368,36,0,1
634,368,244,1,2
1254,368,132,1,0
382,367,271,1,2
919,367,81,0,0
363,366,132,0,0
2058,366,227,0,1
3479,366,122,1,0
427,365,213,0,0
431,365,223,1,2
2649,365,75,0,0
2934,365,210,0,0
2950,365,286,1,2
3221,365,61,0,0
3487,365,107,0,0
129,364,360,0,0
606,364,312,1,0
712,364,74,0,0
907,364,79,0,0
1803,364,241,1,2
645,363,467,1,0
1232,363,232,1,0
1353,363,87,0,0
2552,363,108,1,0
1238,362,122,0,0
1368,362,280,1,2
1889,362,241,1,0
2686,362,91,0,0
2797,362,89,0,0
3518,362,275,1,2
632,361,135,1,2
1336,361,184,0,0
2675,361,74,0,0
2896,361,211,1,2
535,360,146,1,0
753,360,57,0,0
1926,360,54,0,0
533,359,56,0,1
302,358,128,0,0
3657,358,104,1,0
1070,357,239,1,2
1433,357,83,1,2
1879,357,162,1,2
1151,356,117,1,0
979,355,60,1,2
1335,355,360,1,2
1469,355,233,0,0
2172,355,145,1,2
2269,355,107,0,0
3540,355,70,0,0
2465,354,297,1,2
3597,354,102,0,0
3686,353,5,0,0
566,352,168,0,0
756,352,275,1,2
1688,352,134,0,0
2293,352,66,1,2
932,351,69,1,0
3506,351,283,1,0
133,350,185,1,0
296,350,355,0,0
1727,350,168,1,2
2032,350,160,0,1
187,349,298,0,0
880,349,94,0,1
1429,349,348,1,2
2044,349,294,1,2
3235,349,186,1,0
2346,348,115,1,0
761,347,35,0,1
2065,347,225,1,2
3900,347,253,1,2
882,346,129,0,1
2092,346,129,0,0
599,345,51,0,1
885,345,430,1,2
1921,345,273,1,2
3887,345,9,1,0
119,344,244,1,2
350,344,177,0,0
1260,344,447,1,0
942,343,380,1,2
1268,343,231,1,0
1454,343,345,2,1
2163,343,146,0,0
292,342,116,1,2
1581,342,54,1,0
